plot_trans,strm_dist
51-1,46.29629516600
51-2,46.29629516600
51-3,0.00000000000
51-4,0.00000000000
3-1,33.38473510740
3-2,33.38473510740
3-3,33.38473510740
3-4,33.38473510740
2-1,59.28818893430
2-2,59.28818893430
2-3,59.28818893430
2-4,62.11299896240
5-1,55.55555725100
5-2,55.55555725100
5-3,47.21314239500
5-4,58.56069564820
7-1,101.85185241700
7-2,92.59259033200
7-3,83.33333587650
7-4,74.07407379150
8-1,9.25925922394
8-2,0.00000000000
8-3,0.00000000000
8-4,0.00000000000
8B-1,78.56742095950
8B-2,59.28818893430
8B-3,46.29629516600
8B-4,33.38473510740
9-1,79.11114501950
9-2,76.35380554200
9-3,58.56069564820
9-4,47.21314239500
10-1,93.05440521240
10-2,83.33333587650
10-3,74.07407379150
10-4,74.07407379150
11-1,95.32991027830
11-2,95.32991027830
11-3,103.52166748000
11-4,107.98059082000
13-1,20.70433235170
13-2,26.18914031980
13-3,33.38473510740
13-4,39.28371047970
14-1,66.76947021480
14-2,53.99029541020
14-3,53.99029541020
14-4,38.17690277100
15-1,589.25567627000
15-2,595.83892822300
15-3,608.93267822300
15-4,615.44476318400
16-1,302.31161499000
16-2,294.11816406300
16-3,289.86065673800
16-4,277.46896362300
16-5,323.01412963900
16-6,323.01412963900
18-1,447.23275756800
18-2,430.72976684600
18-3,410.96926879900
18-4,416.15194702100
19-1,261.39990234400
19-2,252.89814758300
19-3,244.45146179200
19-4,227.74766540500
21A-1,205.58891296400
21A-2,195.32427978500
21A-3,198.15679931600
21A-4,190.88452148400
21A-5,242.33801269500
21A-6,237.15275573700
21A-7,228.68682861300
21B-1,138.88888549800
21B-2,139.19718933100
21B-3,129.62962341300
21B-4,120.37036895800
21B-5,179.78228759800
21B-6,134.81684875500
23-1,232.22103881800
23-2,215.36488342300
23-3,227.74766540500
23-4,228.68682861300
24-1,269.63369751000
24-2,285.23928833000
24-3,271.06076049800
24-6,321.01733398400
24-7,331.91571044900
25A-1,517.60833740200
25A-2,497.76593017600
25A-3,475.47897338900
25A-4,464.44207763700
25B-1,393.05526733400
25B-2,407.09161377000
25B-3,421.67767334000
25B-4,445.98498535200
24-5,298.17114257800
26-1,275.29757690400
26-2,269.15634155300
26-3,269.15634155300
26-4,257.43405151400
27-1,402.00543212900
27-2,380.98223877000
27-3,373.25268554700
27-4,363.12353515600
28-1,493.09359741200
28-2,513.61773681600
28-3,508.50112915000
28-4,485.91265869100
29-1,486.08905029300
29-2,484.67602539100
29-3,477.99664306600
29-4,479.07159423800
30-1,388.99911499000
30-2,405.82604980500
31-1,137.64878845200
31-2,136.71131897000
32-1,13.09457015990
32-2,18.51851844790
33-1,59.28818893430
33-2,65.47284698490
36-1,287.03704834000
36-2,306.11621093800
36-3,306.11621093800
36-4,307.79205322300
37-1,94.42628479000
37-2,87.84104919430
37-3,87.35167694090
37-4,85.36614990230
38-1,91.19313049320
38-2,79.65116119380
38-3,72.31712341310
38-4,79.11114501950
39-1,0.00000000000
39-2,0.00000000000
39-3,9.25925922394
39-4,9.25925922394
40-1,85.36614990230
40-2,83.84616088870
40-3,83.33333587650
40-4,74.07407379150
41-1,205.58891296400
41-2,211.34652710000
41-3,183.79104614300
41-4,179.78228759800
41-5,179.78228759800
41-6,200.30841064500
42-1,18.51851844790
42-2,27.77777862550
42-3,37.03703689580
42-4,27.77777862550
43-1,0.00000000000
43-2,9.25925922394
43-3,9.25925922394
43-4,27.77777862550
44-1,138.88888549800
44-2,133.53894043000
44-3,141.33645629900
44-4,136.71131897000
45-1,18.51851844790
45-2,18.51851844790
45-3,18.51851844790
45-4,37.03703689580
46-1,46.29629516600
46-2,49.86263656620
46-3,46.29629516600
46-4,46.29629516600
47-1,367.23208618200
47-2,367.23208618200
47-3,372.44787597700
47-4,370.02297973600
48-1,195.32427978500
48-2,203.07141113300
48-3,196.85455322300
48-4,194.66477966300
49-1,9.25925922394
49-2,9.25925922394
49-3,13.09457015990
49-4,20.70433235170
50-1,67.40842437740
50-3,76.35380554200
50-2,76.35380554200
60-1,53.99029541020
60-2,38.17690277100
60-3,9.25925922394
61-1,41.40866470340
61-2,58.56069564820
61-3,79.11114501950
61-4,100.15420532200
1-1,74.07407379150
1-6,187.48570251500
1-2,56.32187652590
1-3,161.97088623000
1-4,195.32427978500
1-5,169.97740173300
